"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3240","User login with correct email or password","LMS system","2026-06-16","passed","2026-06-16","Authorization","Authentication","",""
"","3090","Create course","LMS system","2026-06-16","passed","2026-06-16","Courses","Courses","",""
"","1461","User login with wrong email or password","LMS system","2026-06-16","passed","2026-06-16","Authorization","Authentication","",""
"","0","test_password_reset","tests.pytest","2026-06-16","passed","2026-06-16","TestUserAuthentication","test_markers","",""
"","0","test_logout","tests.pytest","2026-06-16","passed","2026-06-16","TestUserAuthentication","test_markers","",""
"","1892","User login with wrong email or password","LMS system","2026-06-16","passed","2026-06-16","Authorization","Authentication","",""
"","0","test_critical_login","tests.pytest","2026-06-16","passed","2026-06-16","","test_markers","",""
"","0","test_login","tests.pytest","2026-06-16","passed","2026-06-16","TestUserAuthentication","test_markers","",""
"","1595","Check displaying of empty courses list","LMS system","2026-06-16","passed","2026-06-16","Courses","Courses","",""
"","1342","Navigation from login page to registration page","LMS system","2026-06-16","passed","2026-06-16","Authorization","Authentication","",""
"","1723","Registration with correct email, username and password","LMS system","2026-06-16","passed","2026-06-16","Registration","Authentication","",""
"","0","test_regression_case","tests.pytest","2026-06-16","passed","2026-06-16","","test_markers","",""
"","0","test_forgot_password_link","tests.pytest","2026-06-16","passed","2026-06-16","TestUserInterface","test_markers","",""
"","1540","Check displaying of dashboard page","LMS system","2026-06-16","passed","2026-06-16","Dashboard","Dashboard","",""
"","3939","Edit course","LMS system","2026-06-16","passed","2026-06-16","Courses","Courses","",""
"","1661","User login with wrong email or password","LMS system","2026-06-16","passed","2026-06-16","Authorization","Authentication","",""
